term,tf
배정,9
완급,9
바퀴,9
감옥,9
사무실,9
닌자,9
지향,9
평균,9
용사,9
대륙,9
나무위키,9
트럭,9
운송,9
어필,9
한몫,9
팀원,9
마인드,9
디스크,9
적자,9
산지,9
홈즈,9
우정,9
솔로,9
나가,9
무전,9
고급,9
물이,9
기관총,9
평지,9
무장,9
위장,9
아시아,9
탱크,9
포스트,9
여관,9
중지,9
열화,9
여정,9
성인,9
고갈,9
알고리즘,9
감지,9
수행,9
영지,9
레드,9
스튜디오,9
어머니,9
무지,9
출발,9
개척,9
시가,9
스릴러,9
매니악,9
인구수,9
바깥,9
킹덤,9
동생,9
프리징,9
피시,9
고수,9
빈도,9
작업장,9
구독,9
사이버,9
호평,9
보물,9
입구,9
고개,9
피해자,9
영주,9
통계,9
성소,9
명중,9
주가,9
사정,9
칼날,9
상실,9
차례,9
바질,9
오래,9
밀도,9
소음,9
경비,9
해체,9
가속,9
외계,9
플레이도,9
선원,9
항해,9
소비량,9
소금,9
아웃라스트,9
게리,9
고철,9
원가,9
클래식,9
유머,9
앞뒤,9
범죄자,9
간접,9
변이,9
대학,9
궁수,9
습격,9
집단,9
폴더,9
수류탄,9
보급품,9
무비,9
조현병,9
장물,9
링크,9
중립,9
열차,9
대사도,9
일기,9
소녀,9
재생,9
해피,9
필살기,9
식수,9
동북공정,9
예은,9
수호,8
완화,8
내야,8
할아버지,8
광물,8
구실,8
소감,8
너희,8
거울,8
이단,8
단검,8
대처,8
포켓몬,8
장이,8
오프라인,8
도감,8
실탄,8
잠수,8
메모리,8
자인,8
산거,8
박수,8
발상,8
염병,8
사례,8
일자,8
사인,8
섬광탄,8
바램,8
오랫동안,8
씨앗,8
이중,8
급상승,8
그림자,8
이만,8
외국,8
보유,8
다인,8
그룹,8
변동,8
빙의,8
그림판,8
저택,8
플라스틱,8
해외,8
세션,8
참가,8
교전,8
이쯤,8
후속,8
환영,8
괴리감,8
한눈,8
운동,8
이별,8
헌터,8
충동,8
악질,8
두기,8
삼국지,8
조명,8
반년,8
표절,8
카피,8
태반,8
법사,8
심화,8
예약,8
스크린,8
동의,8
발음,8
종이,8
여성,8
타겟,8
변환,8
장담,8
상대로,8
편지,8
초창기,8
노멀,8
워킹,8
노트북,8
거주,8
마비,8
책임,8
상향,8
실드,8
무식,8
바랄,8
계곡,8
하등,8
프리,8
한지,8
개떡,8
위기감,8
공략법,8
자폭,8
그릇,8
왕이,8
구멍,8
펀치,8
양쪽,8
일지,8
장기,8
필터,8
정석,8
적극,8
나은,8
온도,8
주차,8
페널티,8
상당수,8
오타,8
사슴,8
사이즈,8
위화감,8
기대치,8
주지,8
발할라,8
약점,8
드래곤,8
부류,8
인테리어,8
탄창,8
교실,8
장시간,8
빙수,8
레인저,8
졸림,8
오리지널,8
황금,8
하든,8
배포,8
매복,8
스콜라,8
분할,8
레일,8
트래픽,8
철학,8
파산,8
리얼타임,8
콜렉션,8
흑백,8
농지,8
모에,8
깃발,8
의료,8
전투기,8
리갈,8
검은방,8
적대자,8
농부,7
쓰레기통,7
와도,7
후술,7
모순,7
그쪽,7
면도,7
예언,7
고집,7
정렬,7
냉장고,7
결함,7
시바,7
백업,7
치명타,7
맥주,7
네트워크,7
원주민,7
사장,7
유입,7
절벽,7
땅굴,7
유무,7
왕창,7
보라색,7
나뭇잎,7
씹새끼,7
하나에,7
누가,7
의향,7
정수,7
기어,7
기원,7
복수,7
오지,7
프로필,7
신호,7
이질감,7
마감,7
가장,7
개소리,7
주머니,7
바로,7
프랑스,7
금속,7
주점,7
자석,7
구색,7
방도,7
개구리,7
트릭,7
무게,7
출혈,7
양키,7
정밀,7
돌연변이,7
허용,7
신념,7
라디오,7
선체,7
웅덩이,7
볼트,7
하수구,7
적도,7
싫증,7
각오,7
도주,7
스케일,7
단발,7
졸업,7
검은색,7
베이스,7
총점,7
과장,7
제때,7
다라,7
검열,7
정이,7
구석구석,7
거짓말,7
가사,7
성과,7
미스터리,7
수면,7
주방,7
던지기,7
감도,7
줄기,7
차후,7
서서,7
텀블벅,7
참조,7
소모품,7
만족도,7
자금,7
이어,7
사이코패스,7
가운데,7
길목,7
개발비,7
죽지,7
작중,7
이즈,7
머신,7
망상,7
육각형,7
알파벳,7
열기,7
일방통행,7
은하,7
데이즈,7
퇴보,7
오해,7
안녕하세요,7
향후,7
오토,7
태양광,7
거주지,7
관성,7
할애,7
균형,7
독점,7
기력,7
제보,7
애니,7
사이클롭스,7
타임슬립,7
감명,7
사방팔방,7
노릇,7
추론,7
연구소,7
라이언,7
정체,7
스프링,7
클론,7
마운트,7
유럽,7
저격수,7
색상,7
유인원,7
도움말,7
헤드셋,7
설득력,7
토너먼트,7
답습,7
맥거핀,7
선행,7
흥정,7
일기장,7
소요,7
하수인,7
운명,7
만화,7
프리퀄,7
구름,7
빙글빙글,7
탐정,7
통일,7
우측,7
풀다,7
이쪽,7
임팩트,7
전직,7
대박,7
중단,7
종교,7
메이드,7
근대,7
사다리,7
부메랑,7
핸드,7
은미,7
펭귄,7
수족관,7
부서,7
억양,7
시세,7
압축,7
트레이딩,7
알람,7
서스펜스,7
제노바,7
반군,7
테이크다운,7
중량,7
오목,7
장화,7
보컬,7
레플리카,7
지침,6
작물,6
크래쉬,6
정정,6
돌고,6
허허,6
그리스,6
이틀,6
창의성,6
원정,6
체스,6
묶음,6
담배,6
로켓,6
인종,6
메일,6
인증,6
시행착오,6
반박,6
퀘스트라,6
연금술사,6
할머니,6
하얀색,6
마리오,6
감독관,6
작전,6
통로,6
직사각형,6
파이프,6
터무니,6
메이플,6
하향,6
개편,6
몇몇,6
전방,6
마음가짐,6
에이,6
사연,6
도마뱀,6
인내,6
만도,6
한도,6
국적,6
배틀필드,6
전장,6
부대,6
명예,6
벌목,6
우편,6
우유,6
내역,6
잔디,6
낙하,6
명도,6
트레이너,6
암살,6
차이점,6
쥐꼬리,6
성욕,6
단일,6
통나무,6
